zona,tiempo_entrega_horas
Centro,39.0
Centro,35.2
Norte,39.9
Norte,45.1
Norte,34.6
Sur,34.6
Centro,45.5
Sur,40.6
Norte,33.2
Centro,39.3
Sur,33.2
Centro,33.2
Sur,37.5
Centro,24.5
Norte,25.7
Norte,32.6
Centro,29.9
Sur,37.9
Norte,30.6
Norte,27.5
Norte,44.8
Centro,34.6
Centro,36.4
Sur,27.5
Sur,32.7
Sur,36.7
Centro,29.1
Centro,38.3
Sur,32.4
Sur,34.2
Centro,32.4
Sur,47.1
Norte,35.9
Centro,29.7
Sur,40.9
Centro,28.7
Norte,37.3
Centro,24.2
Centro,28.0
Centro,37.2
Centro,40.4
Norte,37.0
Centro,35.3
Centro,34.2
Sur,27.1
Centro,31.7
Sur,33.2
Norte,42.3
Norte,38.1
Norte,25.4
Norte,37.9
Sur,33.7
Centro,31.9
Norte,39.7
Centro,42.2
Sur,41.6
Sur,31.0
Sur,34.1
Norte,38.0
Centro,41.9
Centro,33.1
Centro,34.9
Sur,29.4
Norte,28.8
Sur,40.9
Sur,44.1
Centro,35.6
Sur,42.0
Centro,38.2
Norte,32.1
Centro,38.2
Norte,45.2
Centro,35.8
Sur,45.4
Sur,20.3
Norte,40.9
Norte,36.5
Norte,34.2
Centro,36.6
Centro,24.1
Norte,34.7
Sur,38.1
Centro,44.9
Centro,32.9
Centro,31.1
Norte,33.0
Norte,41.5
Norte,38.0
Norte,32.8
Norte,39.1
Sur,36.6
Sur,41.8
Norte,31.8
Centro,34.0
Norte,33.6
Sur,27.2
Sur,37.8
Centro,37.6
Sur,36.0
Norte,34.6
Centro,27.5
Norte,33.5
Norte,33.9
Centro,31.2
Norte,35.0
Sur,38.4
Norte,47.3
Centro,37.0
Centro,37.5
Centro,35.6
Norte,24.5
Centro,35.8
Centro,36.4
Norte,50.8
Sur,34.8
Norte,37.8
Centro,35.8
Centro,29.0
Norte,42.9
Sur,40.5
Centro,40.7
Centro,30.5
Centro,44.4
Norte,27.6
Centro,39.5
Sur,49.1
Centro,30.1
Centro,32.6
Sur,36.6
Centro,33.0
Norte,26.7
Norte,36.4
Norte,29.6
Sur,38.8
Centro,30.5
Norte,45.3
Sur,31.3
Centro,34.1
Sur,40.9
Norte,28.6
Norte,37.4
Norte,43.8
Sur,26.4
Sur,37.1
Norte,37.6
Sur,40.7
Norte,28.6
Norte,28.1
Centro,39.1
Sur,37.8
Norte,37.5
Norte,38.1
Sur,31.9
Centro,37.4
Centro,37.8
Norte,31.7
Sur,47.2
Centro,38.8
Sur,28.9
Sur,39.9
Norte,30.2
Centro,40.7
Norte,43.0
Centro,31.1
Centro,41.8
Centro,38.5
Centro,40.9
Centro,47.4
Sur,34.5
Norte,31.5
Sur,30.7
Centro,31.1
Norte,35.5
Centro,38.0
Norte,37.7
Sur,41.0
Norte,36.1
Norte,44.7
Norte,34.4
Norte,52.3
Norte,39.8
Centro,30.9
Norte,29.6
Norte,38.9
Sur,34.7
Norte,40.3
Sur,38.8
Centro,35.6
Norte,30.9
Sur,26.9
Sur,33.3
Centro,41.1
Norte,37.3
Norte,28.5
Sur,37.0
Norte,38.3
Sur,30.7
Norte,36.9
Sur,36.3
Norte,29.1
Centro,80.0
Norte,90.0
Norte,120.0
Centro,150.0
Norte,200.0
